date,location,new_cases,new_cases_per_million,new_deaths,new_deaths_per_million
2021-10-24,Poland,6314.425254043935,158.42647089799195,68.47922705318656,1.7181011494264533
2021-10-25,Poland,6428.987672834616,161.3008664002428,68.40319840084604,1.7162126936543383
2021-10-26,Poland,6346.856505085104,159.2402242546475,61.002398800641096,1.5304395468942578
2021-10-27,Poland,6190.642545398176,155.32082731977906,59.600799600240414,1.4952440446453608
2021-10-28,Poland,6762.364051312281,169.66514396146803,73.455972014043,1.8429026153602412
2021-10-29,Poland,7445.2726636732295,186.79905737144136,80.20949525242834,2.0123238713990026
2021-10-30,Poland,7949.998833921779,199.46244644358057,83.63018490760304,2.0981829751805026
2021-10-31,Poland,8271.644377816718,207.53235205744573,76.48559053811623,1.918962951858708
2021-11-01,Poland,8935.618524077372,224.19115189087367,88.98807263041202,2.232645177412812
2021-11-02,Poland,9665.489888395707,242.50334942545214,85.61435948698136,2.1479722138945125
2021-11-03,Poland,10247.767882732269,257.11244691005317,92.16238547399234,2.312274196236787
2021-11-04,Poland,11390.586673337748,285.785307046671,116.52150591378913,2.92347736132133
2021-11-05,Poland,12482.829651849232,313.18934366171555,134.4760286524319,3.373951490923499
2021-11-06,Poland,13079.581209404185,328.16164241235026,136.89275362328138,3.434642012329503
2021-11-07,Poland,13517.6468765709,339.15256481782154,143.3642845245018,3.5970309178768383
2021-11-08,Poland,13820.092886899276,346.7408686659027,143.59886723314762,3.602963884726751
2021-11-09,Poland,13814.954256214614,346.6119837750148,127.59613526578704,3.201479793438789
2021-11-10,Poland,13811.56428453379,346.5269492256228,132.19290354831583,3.3167860069987585
2021-11-11,Poland,14543.542528745522,364.8919233718957,166.11054472774921,4.16772233883342
2021-11-12,Poland,15345.151757465037,385.00391960712494,183.94319506925717,4.6150782608727035
2021-11-13,Poland,15710.708945537915,394.17554679353793,198.54632683671667,4.9814216891588075
2021-11-14,Poland,16100.396035326623,403.9526040315923,205.9871064469166,5.168072430454953
2021-11-15,Poland,16948.08629019976,425.2207631853631,220.960752957005,5.543683624858005
2021-11-16,Poland,17651.75259038348,442.87542648705755,224.49998334181498,5.632466666670492
2021-11-17,Poland,18158.182841924714,455.5815038483855,235.41229385323345,5.906282292191254
2021-11-18,Poland,19366.23534900534,485.89104211260764,282.36078627372194,7.084163218395621
2021-11-19,Poland,20792.98810596116,521.6877056808478,299.9870731303055,7.526402265539014
2021-11-20,Poland,21542.22388807061,540.4857742798943,309.0554722640781,7.75397761119967
2021-11-21,Poland,22551.00406464967,565.7957886060816,322.01779110466646,8.079291154428272
2021-11-22,Poland,23134.138230900273,580.4264738634628,324.5422955191276,8.142695385646043
2021-11-23,Poland,23067.729468614707,578.7603735469531,297.4977511246398,7.464275029157159
2021-11-24,Poland,22323.541662517255,560.0889907716617,284.6699650176849,7.142475562223748
2021-11-25,Poland,22647.563185089526,568.218599200786,325.1652507082006,8.158516341834638
2021-11-26,Poland,23212.789272046437,582.3999112447736,332.44451107802047,8.341159087128775
2021-11-27,Poland,23164.60289856647,581.1908872234502,339.6098284193548,8.520899816764079
2021-11-28,Poland,23503.87299685089,589.7030259207739,359.73330001690283,9.025732866906015
2021-11-29,Poland,23820.31154424408,597.6423412631079,367.17337997692766,9.212359386979438
2021-11-30,Poland,23592.00379811697,591.9141802769307,345.67173080150076,8.672821022827815
2021-12-01,Poland,23044.053573229052,578.1662754959785,348.5865067468637,8.745872463774063
2021-12-02,Poland,23206.91147761031,582.2523214396763,377.7666166919111,9.477905813766235
2021-12-03,Poland,23304.828185922895,584.7089903052452,379.4591704150506,9.520353389978151
2021-12-04,Poland,23029.23185075695,577.7943496922137,382.8467432952794,9.605314942535264
