"ID";"ModesOfTravel";"Population";"TripCharacteristics";"Margins";"RegionCharacteristics";"Periods";"Trips_1";"Trips_4"
"4148";"T001093";"A048710";"2031090";"MBG0095";"LD03    ";"2018JJ00";"2.12";"110"
"4149";"T001093";"A048710";"2031090";"MBG0095";"LD03    ";"2019JJ00";"1.98";"103"
"4150";"T001093";"A048710";"2031090";"MBG0095";"LD03    ";"2020JJ00";"1.63";"85"
"4151";"T001093";"A048710";"2031090";"MBG0095";"LD03    ";"2021JJ00";"1.85";"96"
"4152";"T001093";"A048710";"2031090";"MBG0095";"LD04    ";"2018JJ00";"2.2";"115"
"4153";"T001093";"A048710";"2031090";"MBG0095";"LD04    ";"2019JJ00";"2.11";"110"
"4154";"T001093";"A048710";"2031090";"MBG0095";"LD04    ";"2020JJ00";"1.91";"99"
"4155";"T001093";"A048710";"2031090";"MBG0095";"LD04    ";"2021JJ00";"2.07";"108"
"4156";"T001093";"A048710";"2031090";"MBG0095";"PV20    ";"2018JJ00";"2.32";"121"
"4157";"T001093";"A048710";"2031090";"MBG0095";"PV20    ";"2019JJ00";"2.04";"106"
"4158";"T001093";"A048710";"2031090";"MBG0095";"PV20    ";"2020JJ00";"1.69";"88"
"4159";"T001093";"A048710";"2031090";"MBG0095";"PV20    ";"2021JJ00";"1.82";"95"
"4160";"T001093";"A048710";"2031090";"MBG0095";"PV21    ";"2018JJ00";"2.12";"110"
"4161";"T001093";"A048710";"2031090";"MBG0095";"PV21    ";"2019JJ00";"2.03";"106"
"4162";"T001093";"A048710";"2031090";"MBG0095";"PV21    ";"2020JJ00";"1.93";"100"
"4163";"T001093";"A048710";"2031090";"MBG0095";"PV21    ";"2021JJ00";"1.95";"101"
"4164";"T001093";"A048710";"2031090";"MBG0095";"PV22    ";"2018JJ00";"2.2";"114"
"4165";"T001093";"A048710";"2031090";"MBG0095";"PV22    ";"2019JJ00";"2.17";"113"
"4166";"T001093";"A048710";"2031090";"MBG0095";"PV22    ";"2020JJ00";"1.62";"84"
"4167";"T001093";"A048710";"2031090";"MBG0095";"PV22    ";"2021JJ00";"2.2";"114"
"4168";"T001093";"A048710";"2031090";"MBG0095";"PV23    ";"2018JJ00";"2.34";"122"
"4169";"T001093";"A048710";"2031090";"MBG0095";"PV23    ";"2019JJ00";"2.13";"111"
"4170";"T001093";"A048710";"2031090";"MBG0095";"PV23    ";"2020JJ00";"1.83";"95"
"4171";"T001093";"A048710";"2031090";"MBG0095";"PV23    ";"2021JJ00";"1.96";"102"
"4172";"T001093";"A048710";"2031090";"MBG0095";"PV24    ";"2018JJ00";"1.93";"100"
"4173";"T001093";"A048710";"2031090";"MBG0095";"PV24    ";"2019JJ00";"2.14";"111"
"4174";"T001093";"A048710";"2031090";"MBG0095";"PV24    ";"2020JJ00";"1.94";"101"
"4175";"T001093";"A048710";"2031090";"MBG0095";"PV24    ";"2021JJ00";"1.72";"90"
"4176";"T001093";"A048710";"2031090";"MBG0095";"PV25    ";"2018JJ00";"2.22";"115"
"4177";"T001093";"A048710";"2031090";"MBG0095";"PV25    ";"2019JJ00";"2.15";"112"
"4178";"T001093";"A048710";"2031090";"MBG0095";"PV25    ";"2020JJ00";"1.72";"90"
"4179";"T001093";"A048710";"2031090";"MBG0095";"PV25    ";"2021JJ00";"1.99";"103"
"4180";"T001093";"A048710";"2031090";"MBG0095";"PV26    ";"2018JJ00";"2.35";"122"
"4181";"T001093";"A048710";"2031090";"MBG0095";"PV26    ";"2019JJ00";"2.14";"111"
"4182";"T001093";"A048710";"2031090";"MBG0095";"PV26    ";"2020JJ00";"1.75";"91"
"4183";"T001093";"A048710";"2031090";"MBG0095";"PV26    ";"2021JJ00";"2.02";"105"
"4184";"T001093";"A048710";"2031090";"MBG0095";"PV27    ";"2018JJ00";"2.23";"116"
"4185";"T001093";"A048710";"2031090";"MBG0095";"PV27    ";"2019JJ00";"1.96";"102"
"4186";"T001093";"A048710";"2031090";"MBG0095";"PV27    ";"2020JJ00";"1.76";"92"
"4187";"T001093";"A048710";"2031090";"MBG0095";"PV27    ";"2021JJ00";"1.9";"99"
"4188";"T001093";"A048710";"2031090";"MBG0095";"PV28    ";"2018JJ00";"2.08";"108"
"4189";"T001093";"A048710";"2031090";"MBG0095";"PV28    ";"2019JJ00";"2.05";"106"
"4190";"T001093";"A048710";"2031090";"MBG0095";"PV28    ";"2020JJ00";"1.57";"82"
"4191";"T001093";"A048710";"2031090";"MBG0095";"PV28    ";"2021JJ00";"1.82";"95"
"4192";"T001093";"A048710";"2031090";"MBG0095";"PV29    ";"2018JJ00";"2.23";"116"
"4193";"T001093";"A048710";"2031090";"MBG0095";"PV29    ";"2019JJ00";"2.14";"111"
"4194";"T001093";"A048710";"2031090";"MBG0095";"PV29    ";"2020JJ00";"1.68";"88"
"4195";"T001093";"A048710";"2031090";"MBG0095";"PV29    ";"2021JJ00";"2.01";"104"
"4196";"T001093";"A048710";"2031090";"MBG0095";"PV30    ";"2018JJ00";"2.22";"116"
"4197";"T001093";"A048710";"2031090";"MBG0095";"PV30    ";"2019JJ00";"2.08";"108"
"4198";"T001093";"A048710";"2031090";"MBG0095";"PV30    ";"2020JJ00";"1.92";"100"
"4199";"T001093";"A048710";"2031090";"MBG0095";"PV30    ";"2021JJ00";"2.12";"110"
"4200";"T001093";"A048710";"2031090";"MBG0095";"PV31    ";"2018JJ00";"2.29";"119"
"4201";"T001093";"A048710";"2031090";"MBG0095";"PV31    ";"2019JJ00";"2.31";"120"
"4202";"T001093";"A048710";"2031090";"MBG0095";"PV31    ";"2020JJ00";"2";"104"
"4203";"T001093";"A048710";"2031090";"MBG0095";"PV31    ";"2021JJ00";"2.08";"108"
"4224";"T001093";"A048710";"2031100";"MW00000";"NL01    ";"2018JJ00";"2.76";"147"
"4225";"T001093";"A048710";"2031100";"MW00000";"NL01    ";"2019JJ00";"2.75";"143"
"4226";"T001093";"A048710";"2031100";"MW00000";"NL01    ";"2020JJ00";"2.32";"121"
"4227";"T001093";"A048710";"2031100";"MW00000";"NL01    ";"2021JJ00";"2.49";"129"
"4228";"T001093";"A048710";"2031100";"MW00000";"LD01    ";"2018JJ00";"2.84";"150"
"4229";"T001093";"A048710";"2031100";"MW00000";"LD01    ";"2019JJ00";"2.65";"138"
"4230";"T001093";"A048710";"2031100";"MW00000";"LD01    ";"2020JJ00";"2.35";"122"
"4231";"T001093";"A048710";"2031100";"MW00000";"LD01    ";"2021JJ00";"2.55";"132"
"4232";"T001093";"A048710";"2031100";"MW00000";"LD02    ";"2018JJ00";"2.87";"152"
"4233";"T001093";"A048710";"2031100";"MW00000";"LD02    ";"2019JJ00";"2.76";"144"
"4234";"T001093";"A048710";"2031100";"MW00000";"LD02    ";"2020JJ00";"2.34";"122"
"4235";"T001093";"A048710";"2031100";"MW00000";"LD02    ";"2021JJ00";"2.53";"131"
"4236";"T001093";"A048710";"2031100";"MW00000";"LD03    ";"2018JJ00";"2.72";"144"
"4237";"T001093";"A048710";"2031100";"MW00000";"LD03    ";"2019JJ00";"2.75";"143"
"4238";"T001093";"A048710";"2031100";"MW00000";"LD03    ";"2020JJ00";"2.24";"117"
"4239";"T001093";"A048710";"2031100";"MW00000";"LD03    ";"2021JJ00";"2.44";"127"
"4240";"T001093";"A048710";"2031100";"MW00000";"LD04    ";"2018JJ00";"2.72";"144"
"4241";"T001093";"A048710";"2031100";"MW00000";"LD04    ";"2019JJ00";"2.77";"144"
"4242";"T001093";"A048710";"2031100";"MW00000";"LD04    ";"2020JJ00";"2.45";"128"
"4243";"T001093";"A048710";"2031100";"MW00000";"LD04    ";"2021JJ00";"2.53";"132"
"4244";"T001093";"A048710";"2031100";"MW00000";"PV20    ";"2018JJ00";"2.88";"152"
"4245";"T001093";"A048710";"2031100";"MW00000";"PV20    ";"2019JJ00";"2.71";"141"
"4246";"T001093";"A048710";"2031100";"MW00000";"PV20    ";"2020JJ00";"2.24";"116"
"4247";"T001093";"A048710";"2031100";"MW00000";"PV20    ";"2021JJ00";"2.61";"136"
"4248";"T001093";"A048710";"2031100";"MW00000";"PV21    ";"2018JJ00";"2.72";"144"
"4249";"T001093";"A048710";"2031100";"MW00000";"PV21    ";"2019JJ00";"2.51";"131"
"4250";"T001093";"A048710";"2031100";"MW00000";"PV21    ";"2020JJ00";"2.38";"124"
"4251";"T001093";"A048710";"2031100";"MW00000";"PV21    ";"2021JJ00";"2.45";"127"
"4252";"T001093";"A048710";"2031100";"MW00000";"PV22    ";"2018JJ00";"2.94";"156"
"4253";"T001093";"A048710";"2031100";"MW00000";"PV22    ";"2019JJ00";"2.77";"144"
"4254";"T001093";"A048710";"2031100";"MW00000";"PV22    ";"2020JJ00";"2.45";"128"
"4255";"T001093";"A048710";"2031100";"MW00000";"PV22    ";"2021JJ00";"2.59";"135"
"4256";"T001093";"A048710";"2031100";"MW00000";"PV23    ";"2018JJ00";"2.8";"149"
"4257";"T001093";"A048710";"2031100";"MW00000";"PV23    ";"2019JJ00";"2.81";"146"
"4258";"T001093";"A048710";"2031100";"MW00000";"PV23    ";"2020JJ00";"2.31";"120"
"4259";"T001093";"A048710";"2031100";"MW00000";"PV23    ";"2021JJ00";"2.44";"127"
"4260";"T001093";"A048710";"2031100";"MW00000";"PV24    ";"2018JJ00";"2.71";"143"
"4261";"T001093";"A048710";"2031100";"MW00000";"PV24    ";"2019JJ00";"2.67";"139"
"4262";"T001093";"A048710";"2031100";"MW00000";"PV24    ";"2020JJ00";"2.06";"107"
"4263";"T001093";"A048710";"2031100";"MW00000";"PV24    ";"2021JJ00";"2.53";"131"
"4264";"T001093";"A048710";"2031100";"MW00000";"PV25    ";"2018JJ00";"2.93";"155"
"4265";"T001093";"A048710";"2031100";"MW00000";"PV25    ";"2019JJ00";"2.76";"144"
"4266";"T001093";"A048710";"2031100";"MW00000";"PV25    ";"2020JJ00";"2.41";"125"
"4267";"T001093";"A048710";"2031100";"MW00000";"PV25    ";"2021JJ00";"2.58";"134"
"4268";"T001093";"A048710";"2031100";"MW00000";"PV26    ";"2018JJ00";"2.79";"148"
"4269";"T001093";"A048710";"2031100";"MW00000";"PV26    ";"2019JJ00";"2.84";"148"
"4270";"T001093";"A048710";"2031100";"MW00000";"PV26    ";"2020JJ00";"2.36";"123"
"4271";"T001093";"A048710";"2031100";"MW00000";"PV26    ";"2021JJ00";"2.53";"132"
